,Unnamed: 0,address,zip_code,price,sell_date,sell_type,price_per_sqm,no_rooms,housing_type,size_in_sqm,year_of_construction,price_change_in_pct,latitude,longitude,sell_year
1255317,1255317,Folehavevej 14,9000 Aalborg,760000,1992-04-24,Alm. Salg,6229.0,6.0,Villa,122.0,1954.0,0.0,57.042398,9.886748,1992
1255318,1255318,Agnetevej 13,9000 Aalborg,1100000,1992-04-24,Alm. Salg,5500.0,6.0,Villa,200.0,1962.0,0.0,57.048756,9.8971,1992
1255319,1255319,Østervangsvej 17,9000 Aalborg,390000,1992-04-22,Alm. Salg,5652.0,4.0,Villa,69.0,1926.0,0.0,57.039733,9.961837,1992
1255320,1255320,Lindskovvej 45,9000 Aalborg,595000,1992-04-22,Alm. Salg,4877.0,4.0,Villa,122.0,1967.0,0.0,57.042532,9.871763,1992
1255321,1255321,Carl Plougs Vej 3,9000 Aalborg,572000,1992-04-21,Fam. Salg,2723.0,5.0,Villa,210.0,1970.0,0.0,57.035656,9.970884,1992
1255322,1255322,M.A. Schultz Vej 7,9000 Aalborg,1040000,1992-04-15,Alm. Salg,,10.0,Villa,220.0,1933.0,0.0,,,1992
1255323,1255323,Gravenstenvej 4,9000 Aalborg,695000,1992-04-13,Alm. Salg,5346.0,5.0,Villa,130.0,1977.0,0.0,57.03941500000001,9.862799,1992
1255324,1255324,Ternevej 14A,9000 Aalborg,450000,1992-04-13,Andet,3571.0,4.0,Villa,126.0,1963.0,0.0,57.03117,9.933637,1992
1255325,1255325,Vester Vænge Alle 29,9000 Aalborg,470000,1992-07-04,Alm. Salg,4159.0,2.0,Villa,113.0,1954.0,0.0,57.03742800000001,9.879742,1992
1255326,1255326,Skolemestervej 19,9000 Aalborg,615000,1992-05-04,Fam. Salg,3843.0,4.0,Villa,160.0,1965.0,0.0,57.036622,9.873389,1992
1255327,1255327,Toften 48,9000 Aalborg,880000,1992-01-04,Alm. Salg,5146.0,5.0,Villa,171.0,1973.0,0.0,57.028234,9.875189,1992
